股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
腾讯控股,00700,2004-06-16,-26.661,-26.705,-26.612,-26.719,439775008,1947628032.0,-0.4,0.32,0.087,26.17
腾讯控股,00700,2004-06-17,-26.705,-26.69,-26.661,-26.709,83801504,355632992.0,-0.18,0.06,0.015,4.99
腾讯控股,00700,2004-06-18,-26.695,-26.729,-26.685,-26.743,36598000,149216992.0,-0.22,-0.15,-0.039,2.18
腾讯控股,00700,2004-06-21,-26.709,-26.734,-26.709,-26.743,22817000,92101000.0,-0.13,-0.02,-0.005,1.36
腾讯控股,00700,2004-06-23,-26.724,-26.651,-26.646,-26.729,55016000,234416992.0,-0.31,0.31,0.083,3.27
腾讯控股,00700,2004-06-24,-26.642,-26.642,-26.632,-26.671,34723000,154304992.0,-0.15,0.03,0.009,2.07
腾讯控股,00700,2004-06-25,-26.642,-26.656,-26.627,-26.666,21212500,94840000.0,-0.15,-0.05,-0.014,1.26
腾讯控股,00700,2004-06-28,-26.661,-26.676,-26.656,-26.685,14746000,63588000.0,-0.11,-0.08,-0.02,0.88
腾讯控股,00700,2004-06-29,-26.676,-26.671,-26.651,-26.676,15081500,65692000.0,-0.09,0.02,0.005,0.9
腾讯控股,00700,2004-06-30,-26.666,-26.676,-26.651,-26.676,12217000,53199000.0,-0.09,-0.02,-0.005,0.73
腾讯控股,00700,2004-07-02,-26.68,-26.666,-26.661,-26.7,13026000,56038000.0,-0.15,0.04,0.01,0.78
腾讯控股,00700,2004-07-05,-26.671,-26.661,-26.656,-26.671,14264000,61832000.0,-0.06,0.02,0.005,0.82
腾讯控股,00700,2004-07-06,-26.661,-26.656,-26.646,-26.666,15429000,67928000.0,-0.08,0.02,0.005,0.88
腾讯控股,00700,2004-07-07,-26.661,-26.68,-26.661,-26.685,13135000,56501000.0,-0.09,-0.09,-0.024,0.75
腾讯控股,00700,2004-07-08,-26.685,-26.714,-26.685,-26.719,21149000,87504000.0,-0.13,-0.13,-0.034,1.21
腾讯控股,00700,2004-07-09,-26.714,-26.719,-26.709,-26.729,9376000,38200000.0,-0.07,-0.02,-0.005,0.54
腾讯控股,00700,2004-07-12,-26.719,-26.739,-26.709,-26.739,11970000,48244000.0,-0.11,-0.07,-0.02,0.69
腾讯控股,00700,2004-07-13,-26.734,-26.729,-26.724,-26.739,10934000,43735000.0,-0.06,0.04,0.01,0.63
腾讯控股,00700,2004-07-14,-26.729,-26.777,-26.729,-26.782,19638000,75304000.0,-0.2,-0.18,-0.048,1.13
腾讯控股,00700,2004-07-15,-26.768,-26.797,-26.768,-26.821,11319000,41480000.0,-0.2,-0.07,-0.02,0.65
腾讯控股,00700,2004-07-16,-26.802,-26.792,-26.782,-26.807,4126500,15344000.0,-0.09,0.02,0.005,0.24
腾讯控股,00700,2004-07-19,-26.792,-26.777,-26.777,-26.811,5321000,19808000.0,-0.13,0.06,0.015,0.31
腾讯控股,00700,2004-07-20,-26.787,-26.782,-26.777,-26.792,3436000,12779000.0,-0.06,-0.02,-0.005,0.2
腾讯控股,00700,2004-07-21,-26.773,-26.773,-26.758,-26.782,10495000,39951000.0,-0.09,0.03,0.009,0.6
腾讯控股,00700,2004-07-22,-26.782,-26.821,-26.782,-26.831,13831000,49782000.0,-0.18,-0.18,-0.048,0.79
腾讯控股,00700,2004-07-23,-26.821,-26.826,-26.816,-26.831,4668000,16438000.0,-0.06,-0.02,-0.005,0.27
腾讯控股,00700,2004-07-26,-26.841,-26.855,-26.831,-26.855,7439000,25360000.0,-0.09,-0.11,-0.029,0.43
腾讯控股,00700,2004-07-27,-26.855,-26.787,-26.787,-26.855,17906000,64645000.0,-0.25,0.25,0.068,1.03
腾讯控股,00700,2004-07-28,-26.787,-26.797,-26.782,-26.807,4205000,15521000.0,-0.09,-0.04,-0.01,0.24
腾讯控股,00700,2004-07-29,-26.807,-26.782,-26.777,-26.811,3498000,12943000.0,-0.13,0.06,0.015,0.2
腾讯控股,00700,2004-07-30,-26.773,-26.763,-26.758,-26.787,10065000,38332000.0,-0.11,0.07,0.019,0.58
腾讯控股,00700,2004-08-02,-26.763,-26.758,-26.758,-26.792,5352000,20459000.0,-0.13,0.02,0.005,0.31
腾讯控股,00700,2004-08-03,-26.753,-26.739,-26.739,-26.758,12739000,50043000.0,-0.07,0.07,0.019,0.73
腾讯控股,00700,2004-08-04,-26.748,-26.758,-26.748,-26.768,2849000,11000000.0,-0.07,-0.07,-0.019,0.16
腾讯控股,00700,2004-08-05,-26.753,-26.739,-26.729,-26.753,6785000,27098000.0,-0.09,0.07,0.019,0.39
腾讯控股,00700,2004-08-06,-26.748,-26.734,-26.724,-26.748,4334000,17332000.0,-0.09,0.02,0.005,0.25
腾讯控股,00700,2004-08-09,-26.734,-26.734,-26.734,-26.743,4497000,17938000.0,-0.03,0.0,0.0,0.26
腾讯控股,00700,2004-08-10,-26.724,-26.758,-26.724,-26.758,4209000,16516000.0,-0.13,-0.09,-0.024,0.24
